aL,aR,tL,tR,aSS,aLL,tSS,tLL,llOnLeft
8.0,3.0,365.0,0.0,4.0,10,0,365,1.0
8.0,2.5,365.0,0.0,3.0,10,0,365,1.0
8.0,6.0,30.0,0.0,7.5,10,0,30,1.0
8.0,3.0,7.0,0.0,3.5,10,0,7,1.0
8.0,5.5,15.0,0.0,7.0,10,0,15,1.0
8.0,0.5,180.0,0.0,0.5,10,0,180,1.0
8.0,5.5,1.0,0.0,7.0,10,0,1,1.0
7.0,8.0,0.0,365.0,9.0,10,0,365,0.0
8.0,1.0,15.0,0.0,1.0,10,0,15,1.0
8.0,2.5,15.0,0.0,3.0,10,0,15,1.0
8.0,6.0,90.0,0.0,7.5,10,0,90,1.0
8.0,0.5,15.0,0.0,0.75,10,0,15,1.0
8.0,0.5,365.0,0.0,0.75,10,0,365,1.0
8.0,4.0,1.0,0.0,5.0,10,0,1,1.0
8.0,4.5,7.0,0.0,5.5,10,0,7,1.0
8.0,3.5,1.0,0.0,4.5,10,0,1,1.0
8.0,6.5,7.0,0.0,8.0,10,0,7,1.0
8.0,1.5,1.0,0.0,2.0,10,0,1,1.0
8.0,1.0,1.0,0.0,1.5,10,0,1,1.0
8.0,0.5,1.0,0.0,0.5,10,0,1,1.0
8.0,7.5,30.0,0.0,9.5,10,0,30,1.0
8.0,3.0,180.0,0.0,4.0,10,0,180,1.0
8.0,1.0,365.0,0.0,1.5,10,0,365,1.0
8.0,6.0,1.0,0.0,7.5,10,0,1,1.0
8.0,3.0,1.0,0.0,3.5,10,0,1,1.0
8.0,4.0,7.0,0.0,5.0,10,0,7,1.0
8.0,3.5,7.0,0.0,4.5,10,0,7,1.0
8.0,3.5,15.0,0.0,4.5,10,0,15,1.0
8.0,0.5,30.0,0.0,0.5,10,0,30,1.0
8.0,0.5,365.0,0.0,0.5,10,0,365,1.0
8.0,3.0,30.0,0.0,4.0,10,0,30,1.0
8.0,3.0,7.0,0.0,4.0,10,0,7,1.0
8.0,5.0,180.0,0.0,6.0,10,0,180,1.0
8.0,0.5,1.0,0.0,0.75,10,0,1,1.0
8.0,4.0,30.0,0.0,5.0,10,0,30,1.0
8.0,6.5,15.0,0.0,8.0,10,0,15,1.0
8.0,1.0,180.0,0.0,1.0,10,0,180,1.0
8.0,4.0,90.0,0.0,5.0,10,0,90,1.0
8.0,2.0,365.0,0.0,2.5,10,0,365,1.0
8.0,5.0,7.0,0.0,6.5,10,0,7,1.0
8.0,6.0,7.0,0.0,7.5,10,0,7,1.0
8.0,7.0,1.0,0.0,9.0,10,0,1,1.0
8.0,1.5,180.0,0.0,2.0,10,0,180,1.0
8.0,3.5,365.0,0.0,4.5,10,0,365,1.0
8.0,1.0,90.0,0.0,1.5,10,0,90,1.0
8.0,1.0,30.0,0.0,1.0,10,0,30,1.0
8.0,6.5,1.0,0.0,8.0,10,0,1,1.0
8.0,1.0,1.0,0.0,1.0,10,0,1,1.0
8.0,4.5,90.0,0.0,5.5,10,0,90,1.0
8.0,5.0,30.0,0.0,6.0,10,0,30,1.0
8.0,5.0,180.0,0.0,6.5,10,0,180,1.0
8.0,7.5,90.0,0.0,9.5,10,0,90,1.0
8.0,1.5,15.0,0.0,2.0,10,0,15,1.0
8.0,0.5,90.0,0.0,0.5,10,0,90,1.0
8.0,7.5,7.0,0.0,9.5,10,0,7,1.0
8.0,7.0,7.0,0.0,9.0,10,0,7,1.0
8.0,2.0,30.0,0.0,2.5,10,0,30,1.0
8.0,5.5,7.0,0.0,7.0,10,0,7,1.0
8.0,2.5,7.0,0.0,3.0,10,0,7,1.0
8.0,1.5,7.0,0.0,2.0,10,0,7,1.0
8.0,2.5,1.0,0.0,3.0,10,0,1,1.0
8.0,7.5,1.0,0.0,9.5,10,0,1,1.0
8.0,5.0,365.0,0.0,6.0,10,0,365,1.0
8.0,7.0,180.0,0.0,9.0,10,0,180,1.0
8.0,0.5,7.0,0.0,0.5,10,0,7,1.0
8.0,4.5,365.0,0.0,5.5,10,0,365,1.0
8.0,5.5,30.0,0.0,7.0,10,0,30,1.0
8.0,3.5,90.0,0.0,4.5,10,0,90,1.0
8.0,2.0,7.0,0.0,2.5,10,0,7,1.0
8.0,7.0,7.0,0.0,8.5,10,0,7,1.0
8.0,1.0,7.0,0.0,1.0,10,0,7,1.0
8.0,6.5,365.0,0.0,8.0,10,0,365,1.0
8.0,7.0,30.0,0.0,9.0,10,0,30,1.0
8.0,7.0,30.0,0.0,8.5,10,0,30,1.0
8.0,7.5,180.0,0.0,9.5,10,0,180,1.0
8.0,2.5,30.0,0.0,3.0,10,0,30,1.0
8.0,1.0,90.0,0.0,1.0,10,0,90,1.0
8.0,3.0,90.0,0.0,3.5,10,0,90,1.0
8.0,1.5,30.0,0.0,2.0,10,0,30,1.0
8.0,3.0,15.0,0.0,3.5,10,0,15,1.0
8.0,0.5,15.0,0.0,0.5,10,0,15,1.0
8.0,5.0,30.0,0.0,6.5,10,0,30,1.0
8.0,7.0,90.0,0.0,8.5,10,0,90,1.0
8.0,1.0,30.0,0.0,1.5,10,0,30,1.0
8.0,5.0,7.0,0.0,6.0,10,0,7,1.0
8.0,4.0,365.0,0.0,5.0,10,0,365,1.0
8.0,7.5,15.0,0.0,9.5,10,0,15,1.0
8.0,5.0,90.0,0.0,6.5,10,0,90,1.0
8.0,1.5,365.0,0.0,2.0,10,0,365,1.0
8.0,1.0,15.0,0.0,1.5,10,0,15,1.0
8.0,2.0,1.0,0.0,2.5,10,0,1,1.0
8.0,6.5,180.0,0.0,8.0,10,0,180,1.0
8.0,3.5,30.0,0.0,4.5,10,0,30,1.0
8.0,6.0,15.0,0.0,7.5,10,0,15,1.0
8.0,3.0,15.0,0.0,4.0,10,0,15,1.0
8.0,2.0,180.0,0.0,2.5,10,0,180,1.0
8.0,5.0,365.0,0.0,6.5,10,0,365,1.0
8.0,6.0,180.0,0.0,7.5,10,0,180,1.0
8.0,3.0,180.0,0.0,3.5,10,0,180,1.0
8.0,5.0,90.0,0.0,6.0,10,0,90,1.0
8.0,7.0,15.0,0.0,9.0,10,0,15,1.0
8.0,1.0,180.0,0.0,1.5,10,0,180,1.0
8.0,7.5,365.0,0.0,9.5,10,0,365,1.0
8.0,4.5,180.0,0.0,5.5,10,0,180,1.0
8.0,4.0,30.0,0.0,5.0,10,0,30,1.0
8.0,5.5,90.0,0.0,7.0,10,0,90,1.0
8.0,4.5,30.0,0.0,5.5,10,0,30,1.0
8.0,7.0,180.0,0.0,8.5,10,0,180,1.0
8.0,0.5,7.0,0.0,0.75,10,0,7,1.0
8.0,2.5,90.0,0.0,3.0,10,0,90,1.0
8.0,5.0,1.0,0.0,6.5,10,0,1,1.0
8.0,5.0,1.0,0.0,6.0,10,0,1,1.0
8.0,4.5,1.0,0.0,5.5,10,0,1,1.0
8.0,5.5,180.0,0.0,7.0,10,0,180,1.0
8.0,5.5,365.0,0.0,7.0,10,0,365,1.0
8.0,3.0,30.0,0.0,3.5,10,0,30,1.0
8.0,2.0,90.0,0.0,2.5,10,0,90,1.0
8.0,1.0,7.0,0.0,1.5,10,0,7,1.0
8.0,0.5,30.0,0.0,0.75,10,0,30,1.0
8.0,6.5,90.0,0.0,8.0,10,0,90,1.0
8.0,0.5,180.0,0.0,0.75,10,0,180,1.0
8.0,3.5,180.0,0.0,4.5,10,0,180,1.0
8.0,5.0,15.0,0.0,6.5,10,0,15,1.0
8.0,1.5,90.0,0.0,2.0,10,0,90,1.0
8.0,3.0,90.0,0.0,4.0,10,0,90,1.0
8.0,2.5,180.0,0.0,3.0,10,0,180,1.0
8.0,7.0,365.0,0.0,8.5,10,0,365,1.0
8.0,4.0,15.0,0.0,5.0,10,0,15,1.0
8.0,8.0,0.0,1.0,10.0,10,0,1,0.0
8.0,7.0,15.0,0.0,8.5,10,0,15,1.0
8.0,3.0,365.0,0.0,3.5,10,0,365,1.0
8.0,7.0,1.0,0.0,8.5,10,0,1,1.0
8.0,1.5,7.0,0.0,2.0,10,0,7,1.0
8.0,5.0,15.0,0.0,6.0,10,0,15,1.0
8.0,6.5,30.0,0.0,8.0,10,0,30,1.0
8.0,3.0,1.0,0.0,4.0,10,0,1,1.0
8.0,1.0,365.0,0.0,1.0,10,0,365,1.0
8.0,4.0,180.0,0.0,5.0,10,0,180,1.0
8.0,4.5,15.0,0.0,5.5,10,0,15,1.0
8.0,2.0,15.0,0.0,2.5,10,0,15,1.0
8.0,0.5,90.0,0.0,0.75,10,0,90,1.0
