run_id,condition,rt,stimulus,button_pressed,window_width,window_height,trial_type,trial_index,time_elapsed,internal_node_id,subject,chinFirst,choiceTask_amountLeftFirst,webcam_label,webcam_fps,webcam_aspectRatio,webcam_height,webcam_width,responses,key_press,success,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
24,1,2568.999999999998,"<div style=""position: fixed; display: inline-block; top: 20%; right: 20%; text-align: right;""><img src=""fu_logo.PNG"" alt=""[FU Berlin Logo]"" style=""width: 25%;""></div><div><br><br><p><strong>Welcome, dear participant! </strong></p><p>Thank you for your interest in and your support for our research.<br> This study is run by researchers at Freie Universität Berlin. </p></div>",0,1920,895,html-button-response,0,2572,0.0-0.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""","""","""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,63844,"""","""","""","""",survey-html-form,1,66425,0.0-1.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"{""prolificID"":""Studie1970""}","""","""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,2397,"<p>Please, use only <strong>one monitor</strong> for this study.<br>If necessary, switch off the other monitors.</p>",0,"""","""",html-button-response,2,68823,0.0-2.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""","""","""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,2799,"<p><strong>Please turn your mobile phone into Airplane Mode and close all CPU- or data-intensive programs and websites!</strong><br> (e.g. running Youtube Videos or Torrents)</p>",0,"""","""",html-button-response,3,71625,0.0-3.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""","""","""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,null,"""","""","""","""",html-keyboard-response,4,71748,0.0-4.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""",null,"""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,null,"""","""","""","""",html-keyboard-response,5,71854,0.0-5.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""",null,"""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,22880.000000000015,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. </li></ol></div><img src=""lightInstruct.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,6,94737,0.0-6.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""","""","""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,59857,"<div style=""width: 45%; text-align: left; margin: auto;""><ol start='3'><li>Check the video and stay in the highlighted rectangle so that it becomes green. </li><li>Try as much as possible to follow the instructions on these pictures and avoid moving your head. If you move too much, the calibration can fail and you might not be able to finish the study. </li><li><strong>If necessary, adjust your laptop, monitor, webcam, or chair. </strong></li></ol></div><img src=""ETInstructions.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,7,154605,0.0-7.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""","""","""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,"""","""","""",1920,895,fullscreen,8,170433,0.0-8.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""","""",true,"2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
24,1,259434,"<div style=""width: 45%; margin: auto; text-align: justify;""><p>In order to make this measurement as accurate as possible, please rest your head on <u>one</u> of your arms, with your elbow on the desk (see image) You face may be covered a little bit but please keep your eyes visible. Get sure that you stay in the rectangle in the video stream while doing that. </p><p>The idea is to keep your head at the same position at all time so that you <strong>only move your eyes</strong> when you look at the screen. </p></div><div style=""text-align: center;""><img src=""chinstruction.PNG"" alt=""Oh, this image cannot be displayed"" style=""width: 15%;""></div><p style=""text-align: center;"">Press Space to continue </p></div><br>","""","""","""",html-keyboard-response,9,429877,0.0-9.0,797,1,0,"FaceTime HD-Kamera (integriert)",29.97000002997,0.001388888888888889,720,1280,"""",32,"""","2021-01-15 13:29:24",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
